id,genre_1,genre_2,genre_3,genre_4,genre_5,genre_6,genre_7
19995,Action,Adventure,Fantasy,Science Fiction, , , 
285,Adventure,Fantasy,Action, , , , 
206647,Action,Adventure,Crime, , , , 
49026,Action,Crime,Drama,Thriller, , , 
49529,Action,Adventure,Science Fiction, , , , 
559,Fantasy,Action,Adventure, , , , 
38757,Animation,Family, , , , , 
99861,Action,Adventure,Science Fiction, , , , 
767,Adventure,Fantasy,Family, , , , 
209112,Action,Adventure,Fantasy, , , , 
1452,Adventure,Fantasy,Action,Science Fiction, , , 
10764,Adventure,Action,Thriller,Crime, , , 
58,Adventure,Fantasy,Action, , , , 
57201,Action,Adventure,Western, , , , 
49521,Action,Adventure,Fantasy,Science Fiction, , , 
2454,Adventure,Family,Fantasy, , , , 
24428,Science Fiction,Action,Adventure, , , , 
1865,Adventure,Action,Fantasy, , , , 
41154,Action,Comedy,Science Fiction, , , , 
122917,Action,Adventure,Fantasy, , , , 
1930,Action,Adventure,Fantasy, , , , 
20662,Action,Adventure, , , , , 
57158,Adventure,Fantasy, , , , , 
2268,Adventure,Fantasy, , , , , 
254,Adventure,Drama,Action, , , , 
597,Drama,Romance,Thriller, , , , 
271110,Adventure,Action,Science Fiction, , , , 
44833,Thriller,Action,Adventure,Science Fiction, , , 
135397,Action,Adventure,Science Fiction,Thriller, , , 
37724,Action,Adventure,Thriller, , , , 
558,Action,Adventure,Fantasy, , , , 
68721,Action,Adventure,Science Fiction, , , , 
12155,Family,Fantasy,Adventure, , , , 
36668,Adventure,Action,Science Fiction,Thriller, , , 
62211,Animation,Family, , , , , 
8373,Science Fiction,Action,Adventure, , , , 
91314,Science Fiction,Action,Adventure, , , , 
68728,Fantasy,Adventure,Family, , , , 
102382,Action,Adventure,Fantasy, , , , 
20526,Adventure,Action,Science Fiction, , , , 
49013,Animation,Family,Adventure,Comedy, , , 
44912,Adventure,Action,Thriller,Science Fiction, , , 
10193,Animation,Family,Comedy, , , , 
534,Action,Science Fiction,Thriller, , , , 
168259,Action, , , , , , 
72190,Action,Drama,Horror,Science Fiction,Thriller, , 
127585,Action,Adventure,Fantasy,Science Fiction, , , 
54138,Action,Adventure,Science Fiction, , , , 
81005,Action,Family,Fantasy, , , , 
64682,Drama,Romance, , , , , 
9543,Adventure,Fantasy,Action,Romance, , , 
68726,Action,Science Fiction,Adventure, , , , 
38356,Action,Science Fiction,Adventure, , , , 
217,Adventure,Action, , , , , 
105864,Adventure,Animation,Family, , , , 
62177,Animation,Adventure,Comedy,Family,Action,Fantasy, 
188927,Action,Adventure,Science Fiction, , , , 
10681,Animation,Family, , , , , 
5174,Action,Comedy,Crime,Thriller, , , 
14161,Action,Adventure,Science Fiction, , , , 
17979,Animation,Drama, , , , , 
76757,Science Fiction,Fantasy,Action,Adventure, , , 
258489,Action,Adventure, , , , , 
411,Adventure,Family,Fantasy, , , , 
246655,Science Fiction, , , , , , 
155,Drama,Action,Crime,Thriller, , , 
14160,Animation,Comedy,Family,Adventure, , , 
15512,Animation,Family,Adventure,Science Fiction, , , 
1726,Action,Science Fiction,Adventure, , , , 
44826,Adventure,Drama,Family, , , , 
8487,Action,Adventure,Comedy,Science Fiction,Western, , 
1735,Adventure,Action,Fantasy, , , , 
297761,Action,Adventure,Crime,Fantasy,Science Fiction, , 
2698,Fantasy,Comedy,Family, , , , 
137113,Action,Science Fiction, , , , , 
9804,Adventure,Action, , , , , 
14869,Adventure,Action,Thriller,Science Fiction, , , 
150540,Drama,Comedy,Animation,Family, , , 
278927,Family,Adventure,Drama,Fantasy, , , 
10138,Adventure,Action,Science Fiction, , , , 
58595,Adventure,Fantasy,Drama, , , , 
102651,Fantasy,Adventure,Action,Family,Romance, , 
119450,Science Fiction,Action,Drama,Thriller, , , 
79698,Action,Adventure,Science Fiction,Romance, , , 
64686,Drama,Action,Adventure,Fantasy, , , 
100402,Action,Adventure,Science Fiction, , , , 
10192,Comedy,Adventure,Fantasy,Animation,Family, , 
158852,Adventure,Family,Mystery,Science Fiction, , , 
177572,Adventure,Family,Animation,Action,Comedy, , 
82690,Family,Animation,Comedy,Adventure, , , 
5255,Adventure,Animation,Family,Fantasy, , , 
47933,Action,Adventure,Science Fiction, , , , 
10191,Fantasy,Adventure,Animation,Family, , , 
296,Action,Thriller,Science Fiction, , , , 
118340,Action,Science Fiction,Adventure, , , , 
157336,Adventure,Drama,Science Fiction, , , , 
27205,Action,Thriller,Science Fiction,Mystery,Adventure, , 
315011,Action,Adventure,Drama,Horror,Science Fiction, , 
49051,Adventure,Fantasy,Action, , , , 
9799,Action,Crime,Thriller, , , , 
4922,Fantasy,Drama,Thriller,Mystery,Romance, , 
49538,Action,Science Fiction,Adventure, , , , 
131634,Action,Adventure,Science Fiction, , , , 
27022,Fantasy,Adventure,Action,Comedy,Drama, , 
503,Adventure,Action,Drama,Thriller, , , 
241259,Fantasy, , , , , , 
810,Fantasy,Adventure,Animation,Comedy,Family, , 
